episode,timestep,episode_reward,episode_length,termination_reason
375,90,12288,-0.4146961768468221,0.4865371969838937,69.97161897023518,0.2,-0.052000000000000005,32.98523529411765
375,12346,43.79608394234892,61.0,collision
376,12370,28.452781492514312,24.0,collision
377,91,12416,-0.36668336267272633,0.4642065080503623,70.08683840433757,0.2,2.292298576800057,57.87138830368638
377,12429,90.28822176895814,59.0,collision
378,12479,224.18841189861607,50.0,collision
379,12513,19.464386304782046,34.0,collision
380,12536,30.956091591871854,23.0,collision
381,92,12544,-0.541388009985288,0.5018778289668262,70.20205529530843,0.2,0.1313970524059772,-0.2466029475940228
381,12566,54.62044963703067,30.0,collision
382,12582,1.408662541477538,16.0,collision
383,12600,5.807998812339251,18.0,collision
384,12622,55.66800897059265,22.0,collision
385,12643,11.244941835487879,21.0,collision
386,12663,10.813344367931153,20.0,collision
387,93,12672,-0.4205196375648181,0.4977958823243777,70.31727409362793,0.2,-0.059,-0.495
387,12689,24.59458878865896,26.0,collision
388,12708,28.14086865282588,19.0,collision
389,12725,26.116135638687165,17.0,collision
390,12745,3.086805697894494,20.0,collision
391,12792,0.4989992528391287,47.0,collision
392,94,12800,-0.35946470002333325,0.47191041335463524,70.43249479929607,0.2,1.8843731495604348,3.095480504701464
392,12803,2.448020599789059,11.0,collision
393,12872,38.13864987239903,69.0,collision
394,95,12928,-0.4051398274799188,0.4733620745440324,70.5477123260498,0.2,2.6330908989802975,28.52033551638344
394,12930,26.15342641536374,58.0,collision
395,12949,82.4756275318818,19.0,collision
396,13003,50.36020633721494,54.0,collision
397,96,13056,-0.41650892918308574,0.4834337340046962,70.66293271382649,0.2,-0.066,-0.46496104464386845
397,13090,0.8277016208846977,87.0,collision
398,13156,3.4445001511050215,66.0,collision
399,13169,0.32738112667585817,13.0,collision
400,97,13184,-0.40626367429892224,0.466730784624815,70.77815119425456,0.2,0.07950969996285928,-0.4528034491948072
400,13207,5.341174581392412,38.0,collision
401,13228,13.873455909856272,21.0,collision
402,13245,9.839468060975756,17.0,collision
403,13284,48.66272467286363,39.0,collision
